epoca,train_loss,val_loss,dice_tc,dice_wt,dice_et,dice_medio,lr,guardado
1,1.3756910318233928,1.5213486712153366,0.0276295468211174,0.3204454481601715,0.29088708758354187,0.21298736333847046,0.0003,1
2,1.1177063945864067,1.4256077626856363,0.040816791355609894,0.6288630962371826,0.4243623614311218,0.36468076705932617,0.0003,1
3,1.0026801775713436,1.355289101600647,0.044505562633275986,0.756628692150116,0.5540183782577515,0.4517175257205963,0.0003,1
4,0.9250864371901653,1.2987826452022646,0.05835186690092087,0.7506142854690552,0.5410235524177551,0.44999656081199646,0.0003,0
5,0.866827697050376,1.2495433630012884,0.07449182868003845,0.7507918477058411,0.6272251605987549,0.4841696321964264,0.0003,1
6,0.8014169804385451,1.2154302597045898,0.10137079656124115,0.8308379054069519,0.6848664879798889,0.539025068283081,0.0003,1
7,0.7552227592859112,1.1672944949894417,0.15444578230381012,0.8310531973838806,0.7083160877227783,0.5646049976348877,0.0003,1
8,0.7169459911643482,1.1286132451964588,0.2029009610414505,0.8492164611816406,0.6638365387916565,0.5719846487045288,0.0003,1
9,0.680441282078868,1.0862161531680967,0.31642869114875793,0.7638837695121765,0.6443073749542236,0.5748732686042786,0.0003,1
10,0.6571746165635156,1.0481826125121698,0.4714559316635132,0.8552266359329224,0.7035080194473267,0.6767301559448242,0.0003,1
11,0.6182414303060437,1.0077143355113705,0.5821390151977539,0.8467039465904236,0.7110112309455872,0.7132847309112549,0.0003,1
12,0.5900869476990621,0.9761298109845418,0.554589033126831,0.7831610441207886,0.6621183156967163,0.6666228175163269,0.0003,0
13,0.5773466754643644,0.9324150972250032,0.6199446320533752,0.8438462018966675,0.6822869181632996,0.7153592109680176,0.0003,1
14,0.542834354472942,0.901485643735746,0.7804155349731445,0.8743659257888794,0.7847296595573425,0.8131704330444336,0.0003,1
15,0.5129592452870041,0.8613209738963987,0.7967424392700195,0.8463190793991089,0.7699247002601624,0.8043287396430969,0.0003,0
16,0.4923759290917975,0.8237797080016718,0.7966355085372925,0.8767327070236206,0.7767302989959717,0.8166995048522949,0.0003,1
17,0.46654205928083325,0.7889856463525353,0.73356693983078,0.8619993925094604,0.7579851150512695,0.7845171093940735,0.0003,0
