=== HISTORIAL DE ENTRENAMIENTO ===
Fecha inicio: 2026-07-04 00:10:43
Fecha fin: 2026-07-04 02:25:16
Duracion total: 2:14:32.681679
Epocas ejecutadas: 100 / 450
Mejor epoca (modelo guardado, criterio = Dice mas alto): 75
Mejor Dice medio de validacion: 0.874888
Loss de validacion en esa epoca: 0.134979
Modelo guardado en: model_brats.pth

Hiperparametros:
  arquitectura: RadsUNet3D
  features: [32, 64, 128, 256]
  semilla: 42
  learning_rate_inicial: 0.0003
  weight_decay: 1e-05
  pasos_acumulacion: 8
  paciencia_early_stopping: 25
  num_epocas: 450
  criterio_guardado: mejor Dice medio de validacion
  convencion_dice: BraTS (ignore_empty=False)
  dispositivo: cuda

 Epoca |  Loss train |   Loss val |  Dice TC |  Dice WT |  Dice ET | Dice med |         LR | Guardado
    49 |    0.140663 |   0.188824 |   0.8797 |   0.8861 |   0.8247 |   0.8635 |   3.00e-04 | SI
    50 |    0.139496 |   0.180070 |   0.8885 |   0.8855 |   0.8244 |   0.8662 |   3.00e-04 | SI
    51 |    0.134231 |   0.177467 |   0.8795 |   0.8908 |   0.8261 |   0.8655 |   3.00e-04 | 
    52 |    0.131615 |   0.174412 |   0.8914 |   0.8860 |   0.8232 |   0.8669 |   3.00e-04 | SI
    53 |    0.128869 |   0.170894 |   0.8837 |   0.8878 |   0.8290 |   0.8668 |   3.00e-04 | 
    54 |    0.126071 |   0.175898 |   0.8747 |   0.8868 |   0.8231 |   0.8615 |   3.00e-04 | 
    55 |    0.124391 |   0.165545 |   0.8892 |   0.8884 |   0.8298 |   0.8691 |   3.00e-04 | SI
    56 |    0.122908 |   0.175999 |   0.8750 |   0.8890 |   0.8112 |   0.8584 |   3.00e-04 | 
    57 |    0.126941 |   0.163124 |   0.8847 |   0.8916 |   0.8275 |   0.8679 |   3.00e-04 | 
    58 |    0.123043 |   0.164382 |   0.8900 |   0.8839 |   0.8262 |   0.8667 |   3.00e-04 | 
    59 |    0.123724 |   0.161092 |   0.8758 |   0.8843 |   0.8239 |   0.8613 |   3.00e-04 | 
    60 |    0.123113 |   0.158399 |   0.8864 |   0.8876 |   0.8284 |   0.8674 |   3.00e-04 | 
    61 |    0.122719 |   0.157584 |   0.8843 |   0.8867 |   0.8267 |   0.8659 |   3.00e-04 | 
